target,n_ok_groups,median_baseline_r2,median_memory_r2,median_observed_gain,mean_observed_gain,fraction_observed_positive,median_shuffle_gain_mean,mean_shuffle_gain_mean,median_observed_minus_shuffle,mean_observed_minus_shuffle,fraction_observed_above_shuffle_mean,median_empirical_p,min_empirical_p,rank_by_controlled_memory,session_id_synthesis,lag_label,lags,n_lags
active_unit_fraction,4,0.3943820258490365,0.436335610947347,0.0547837713925805,0.0526508379381804,1.0,-0.0015381462307497,-0.0015900076715621,0.0562717790756779,0.0542408456097425,1.0,0.0196078431372549,0.0196078431372549,1,715093703,lag1,1,1
population_rate_entropy,4,0.3439733112362788,0.3944298244245384,0.0470492947002593,0.0480166276580889,1.0,-0.0018380674653159,-0.0016025007501556,0.0490288594540774,0.0496191284082446,1.0,0.0196078431372549,0.0196078431372549,2,715093703,lag1,1,1
population_mean_rate_hz,4,0.4554937789018619,0.4906897367142295,0.028792548838191,0.0319942533252793,1.0,-0.0014733940291585,-0.0015416852674528,0.0304025253439381,0.0335359385927321,1.0,0.0196078431372549,0.0196078431372549,3,715093703,lag1,1,1
population_state_speed,4,0.0487798350543946,0.0454336511341835,-0.0009273309894947,0.0029866631554856,0.25,-0.0024853410956238,-0.0024742387966674,0.0017990815761044,0.0054609019521531,0.75,0.1862745098039215,0.0196078431372549,4,715093703,lag1,1,1
active_unit_fraction,4,0.3901288303608387,0.4342510671459805,0.058788569365068,0.0530565128609019,1.0,-0.0014346818984201,-0.0015158594142106,0.0600877805102846,0.0545723722751126,1.0,0.0196078431372549,0.0196078431372549,1,715093703,lag2,2,1
population_rate_entropy,4,0.3351142956769236,0.3852346090740497,0.0480360319362399,0.049078172666683,1.0,-0.0018484157175602,-0.0016153538439228,0.0494183239065252,0.0506935265106058,1.0,0.0196078431372549,0.0196078431372549,2,715093703,lag2,2,1
population_mean_rate_hz,4,0.4546169053423721,0.4894166233024756,0.0262147146211091,0.0305072162906063,1.0,-0.001509306110917,-0.0015843423464123,0.0278740932030167,0.0320915586370186,1.0,0.0196078431372549,0.0196078431372549,3,715093703,lag2,2,1
population_state_speed,4,0.046187962334833,0.0387628320575353,-0.0071618152746451,-0.0292518431976496,0.25,-0.0024167446787441,-0.0024158243663818,-0.0046318465358323,-0.0268360188312677,0.25,0.96078431372549,0.0196078431372549,4,715093703,lag2,2,1
active_unit_fraction,4,0.3901288303608387,0.4479495407749024,0.0763959518400877,0.0733887483034996,1.0,-0.003137558288125,-0.0030435636864234,0.0788010962071987,0.076432311989923,1.0,0.0196078431372549,0.0196078431372549,1,715093703,lag12,"1,2",2
population_rate_entropy,4,0.3351142956769236,0.4026635039623097,0.064254393559415,0.0659018009224006,1.0,-0.0034271997818442,-0.0028469617297776,0.0674032020703978,0.0687487626521782,1.0,0.0196078431372549,0.0196078431372549,2,715093703,lag12,"1,2",2
population_mean_rate_hz,4,0.4546169053423721,0.5005236184751188,0.0359017180013925,0.0409042155670696,1.0,-0.0027981681268386,-0.0029402107477192,0.0390639561734661,0.0438444263147889,1.0,0.0196078431372549,0.0196078431372549,3,715093703,lag12,"1,2",2
